date,ascending,daily in poland,percentage,dolnoslaskie,przyrost w wojewodztwie,Voivodenship
04-Mar,1,1,0,0,0,dolnoslaskie
05-Mar,1,0,0,0,0,dolnoslaskie
06-Mar,5,4,400,1,1,dolnoslaskie
07-Mar,6,1,20,0,1,dolnoslaskie
08-Mar,11,5,83,1,2,dolnoslaskie
09-Mar,17,6,55,1,3,dolnoslaskie
10-Mar,22,5,29,1,4,dolnoslaskie
11-Mar,31,9,41,0,4,dolnoslaskie
12-Mar,51,20,65,3,7,dolnoslaskie
13-Mar,68,17,33,1,8,dolnoslaskie
14-Mar,104,36,53,5,13,dolnoslaskie
15-Mar,125,21,20,2,15,dolnoslaskie
16-Mar,177,52,42,12,27,dolnoslaskie
17-Mar,238,61,34,11,38,dolnoslaskie
18-Mar,287,49,21,2,40,dolnoslaskie
19-Mar,355,68,24,13,53,dolnoslaskie
20-Mar,425,70,20,5,58,dolnoslaskie
21-Mar,536,111,26,8,66,dolnoslaskie
22-Mar,634,98,18,13,79,dolnoslaskie
23-Mar,749,115,18,22,101,dolnoslaskie
24-Mar,901,152,20,33,134,dolnoslaskie
25-Mar,1051,150,17,16,150,dolnoslaskie
26-Mar,1221,170,16,15,165,dolnoslaskie
27-Mar,1389,168,14,28,193,dolnoslaskie
28-Mar,1638,249,18,21,214,dolnoslaskie
29-Mar,1862,224,14,20,234,dolnoslaskie
30-Mar,2055,193,10,24,258,dolnoslaskie
31-Mar,2311,256,12,16,274,dolnoslaskie
01-Apr,2554,243,11,52,326,dolnoslaskie
02-Apr,2946,392,15,12,338,dolnoslaskie
03-Apr,3383,437,15,62,400,dolnoslaskie
04-Apr,3627,244,7,7,407,dolnoslaskie
05-Apr,4102,475,13,61,468,dolnoslaskie
06-Apr,4413,311,8,20,488,dolnoslaskie
07-Apr,4848,435,10,39,527,dolnoslaskie
08-Apr,5205,357,7,12,539,dolnoslaskie
09-Apr,5575,370,7,29,568,dolnoslaskie
10-Apr,5955,380,7,69,637,dolnoslaskie
11-Apr,6356,401,7,23,660,dolnoslaskie
12-Apr,6674,318,5,37,697,dolnoslaskie
13-Apr,6934,260,4,12,709,dolnoslaskie
14-Apr,7202,268,4,14,723,dolnoslaskie
15-Apr,7582,380,5,41,764,dolnoslaskie
16-Apr,7918,336,4,55,819,dolnoslaskie
17-Apr,8379,461,6,74,893,dolnoslaskie
18-Apr,8742,363,4,56,949,dolnoslaskie
19-Apr,9287,545,6,95,1044,dolnoslaskie
20-Apr,9593,306,3,33,1077,dolnoslaskie
21-Apr,9856,263,3,41,1118,dolnoslaskie
22-Apr,10169,313,3,26,1144,dolnoslaskie
23-Apr,10511,342,3,68,1212,dolnoslaskie
24-Apr,10892,381,4,23,1235,dolnoslaskie
25-Apr,11273,381,3,43,1278,dolnoslaskie
26-Apr,11617,344,3,63,1341,dolnoslaskie
27-Apr,11902,285,2,71,1412,dolnoslaskie
28-Apr,12218,316,3,49,1461,dolnoslaskie
29-Apr,12640,422,3,59,1520,dolnoslaskie
30-Apr,12877,300,2,43,1563,dolnoslaskie
01-May,13105,228,2,17,1580,dolnoslaskie
02-May,13375,270,2,40,1620,dolnoslaskie
03-May,13693,318,2,25,1645,dolnoslaskie
04-May,14006,313,2,78,1723,dolnoslaskie
05-May,14431,425,3,46,1769,dolnoslaskie
06-May,14740,311,2,20,1789,dolnoslaskie
07-May,15047,324,2,36,1825,dolnoslaskie
08-May,15366,340,2,45,1870,dolnoslaskie
09-May,15651,288,2,33,1903,dolnoslaskie
10-May,15996,345,2,99,2002,dolnoslaskie
11-May,16326,330,2,22,2024,dolnoslaskie
12-May,16921,595,4,32,2056,dolnoslaskie
13-May,17204,322,2,44,2100,dolnoslaskie
14-May,17615,411,2,25,2125,dolnoslaskie
15-May,18016,401,2,16,2141,dolnoslaskie
16-May,18257,241,1,19,2160,dolnoslaskie
17-May,18529,272,1,6,2166,dolnoslaskie
18-May,18885,356,2,60,2226,dolnoslaskie
19-May,19268,383,2,31,2257,dolnoslaskie
20-May,19739,471,2,19,2276,dolnoslaskie
21-May,20143,405,2,19,2295,dolnoslaskie
22-May,20619,476,2,71,2366,dolnoslaskie
23-May,20931,316,2,33,2399,dolnoslaskie
24-May,21326,395,2,19,2418,dolnoslaskie
25-May,21631,341,2,37,2455,dolnoslaskie
26-May,22074,445,2,16,2471,dolnoslaskie
27-May,22473,399,2,41,2512,dolnoslaskie
28-May,22825,352,2,18,2530,dolnoslaskie
29-May,23158,333,1,26,2556,dolnoslaskie
30-May,23571,416,2,25,2581,dolnoslaskie
31-May,23786,219,0.9,13,2594,dolnoslaskie
01-Jun,24165,380,1.6,36,2630,dolnoslaskie
02-Jun,24395,236,1,9,2639,dolnoslaskie
03-Jun,24687,292,1.2,10,2649,dolnoslaskie
04-Jun,25048,361,1.5,11,2660,dolnoslaskie
05-Jun,25410,362,1.4,20,2680,dolnoslaskie
06-Jun,25986,576,2.3,20,2700,dolnoslaskie
07-Jun,26561,575,2.2,8,2708,dolnoslaskie
08-Jun,27160,599,2.3,16,2724,dolnoslaskie
